,Unnamed: 0,ID,Season,Fixture,MatchDay,Date,Time,Home Team,Away Team,Refree,Yellow Home,Yellow Away,2nd Yellow Home,2nd Yellow Away,Red Home,Red Away,Half Time Result,Full Time Result,Home Goals,Away Goals,Winner
15,15,15,2010,Tala'ea El Gaish x El Ahly Cairo,2,"Fri, Aug 20, 2010",9:30 PM,Tala'ea El Gaish,El Ahly Cairo,Hamdi Shaaban,0,1,0,0,0,0,0:1 ,0:1,0,1,Away
16,16,16,2010,Entag El Harby x Masr El Makasa,3,"Sun, Aug 22, 2010",9:30 PM,Entag El Harby,Masr El Makasa,Ahmed El Adawi,4,1,0,0,0,0,1:0 ,2:1,2,1,Home
17,17,17,2010,Wadi Degla FC x El Shorta,3,"Sun, Aug 22, 2010",9:30 PM,Wadi Degla FC,El Shorta,tbc,4,1,0,0,0,0,0:2 ,2:3,2,3,Away
18,18,18,2010,Petrojet x Smouha SC,3,"Mon, Aug 23, 2010",9:30 PM,Petrojet,Smouha SC,Raouf El Houshy,2,1,0,1,0,0,0:0 ,1:0,1,0,Home
19,19,19,2010,Enppi Club x Zamalek SC,3,"Mon, Aug 23, 2010",9:30 PM,Enppi Club,Zamalek SC,Yasser Abdelraouf,7,1,0,0,0,0,1:1 ,3:1,3,1,Home
20,20,20,2010,Harras El Hodoud x Arab Contractors SC,3,"Mon, Aug 23, 2010",9:30 PM,Harras El Hodoud,Arab Contractors SC,Fahim Omar,1,1,0,0,0,0,0:1 ,1:1,1,1,Draw
21,21,21,2010,Ismaily SC x El Gouna FC,3,"Mon, Aug 23, 2010",9:30 PM,Ismaily SC,El Gouna FC,Sherif Rashwan,3,3,0,0,0,0,0:0 ,2:1,2,1,Home
22,22,22,2010,El Ahly Cairo x Masry Port Said,3,"Tue, Aug 24, 2010",9:30 PM,El Ahly Cairo,Masry Port Said,Frank de Bleeckere,1,0,0,0,0,0,1:1 ,1:1,1,1,Draw
23,23,23,2010,Ittehad Alexandria x Tala'ea El Gaish,3,"Tue, Aug 24, 2010",9:30 PM,Ittehad Alexandria,Tala'ea El Gaish,Samir Osman,0,3,0,1,1,0,0:0 ,0:1,0,1,Away
24,24,24,2010,El Shorta x Entag El Harby,4,"Fri, Aug 27, 2010",9:30 PM,El Shorta,Entag El Harby,Gehad Grisha,2,1,0,0,0,0,2:0 ,3:0,3,0,Home
25,25,25,2010,Arab Contractors SC x Petrojet,4,"Fri, Aug 27, 2010",9:30 PM,Arab Contractors SC,Petrojet,Medhat El Houfy,0,3,0,0,0,0,0:1 ,0:1,0,1,Away
26,26,26,2010,Smouha SC x Enppi Club,4,"Sat, Aug 28, 2010",9:30 PM,Smouha SC,Enppi Club,Mohamed Abbas,2,3,0,0,0,0,0:0 ,0:0,0,0,Draw
27,27,27,2010,Tala'ea El Gaish x Wadi Degla FC,4,"Sat, Aug 28, 2010",9:30 PM,Tala'ea El Gaish,Wadi Degla FC,tbc,2,1,0,0,0,0,0:0 ,2:1,2,1,Home
28,28,28,2010,Masry Port Said x Ittehad Alexandria,4,"Sat, Aug 28, 2010",9:30 PM,Masry Port Said,Ittehad Alexandria,Fahim Omar,2,6,0,0,0,0,1:0 ,2:2,2,2,Draw
29,29,29,2010,El Gouna FC x El Ahly Cairo,4,"Tue, Nov 9, 2010",1:30 PM,El Gouna FC,El Ahly Cairo,Mohamed Abdelkader,3,2,0,0,0,0,1:0 ,1:1,1,1,Draw
30,30,30,2010,Masr El Makasa x Harras El Hodoud,4,"Wed, Nov 10, 2010",3:45 PM,Masr El Makasa,Harras El Hodoud,Raouf El Houshy,0,5,0,0,1,0,1:1 ,1:1,1,1,Draw
31,31,31,2010,Zamalek SC x Ismaily SC,4,"Wed, Nov 10, 2010",6:00 PM,Zamalek SC,Ismaily SC,Fahim Omar,4,2,0,0,0,0,2:1 ,3:2,3,2,Home
32,32,32,2010,Entag El Harby x Tala'ea El Gaish,5,"Mon, Sep 13, 2010",5:15 PM,Entag El Harby,Tala'ea El Gaish,tbc,1,1,0,0,0,0,0:0 ,0:0,0,0,Draw
33,33,33,2010,Petrojet x Masr El Makasa,5,"Mon, Sep 13, 2010",5:15 PM,Petrojet,Masr El Makasa,Mohamed Dallas,2,1,0,0,0,0,1:1 ,2:1,2,1,Home
34,34,34,2010,Zamalek SC x El Gouna FC,5,"Mon, Sep 13, 2010",7:30 PM,Zamalek SC,El Gouna FC,Samir Osman,2,3,0,0,0,0,0:1 ,1:1,1,1,Draw
35,35,35,2010,Wadi Degla FC x Masry Port Said,5,"Tue, Sep 14, 2010",5:15 PM,Wadi Degla FC,Masry Port Said,Hamdi Shaaban,1,0,0,0,1,0,0:3 ,0:4,0,4,Away
36,36,36,2010,Enppi Club x Arab Contractors SC,5,"Tue, Sep 14, 2010",7:30 PM,Enppi Club,Arab Contractors SC,tbc,2,2,0,0,0,0,1:0 ,2:1,2,1,Home
37,37,37,2010,Ismaily SC x Smouha SC,5,"Thu, Dec 9, 2010",3:45 PM,Ismaily SC,Smouha SC,Raouf El Houshy,1,1,0,0,0,0,3:1 ,3:2,3,2,Home
38,38,38,2010,Harras El Hodoud x El Shorta,5,"Thu, Dec 9, 2010",6:00 PM,Harras El Hodoud,El Shorta,Fahim Omar,2,1,0,0,0,0,1:0 ,1:0,1,0,Home
39,39,39,2010,Ittehad Alexandria x El Ahly Cairo,5,"Fri, Dec 10, 2010",6:00 PM,Ittehad Alexandria,El Ahly Cairo,Knut Kircher,1,0,0,0,0,0,2:2 ,2:2,2,2,Draw
40,40,40,2010,El Gouna FC x Ittehad Alexandria,6,"Fri, Sep 17, 2010",3:15 PM,El Gouna FC,Ittehad Alexandria,Ahmed El Adawi,1,5,0,0,0,0,0:1 ,0:2,0,2,Away
41,41,41,2010,Smouha SC x Zamalek SC,6,"Fri, Sep 17, 2010",5:15 PM,Smouha SC,Zamalek SC,Fahim Omar,5,4,0,0,0,0,1:1 ,1:3,1,3,Away
42,42,42,2010,El Shorta x Petrojet,6,"Fri, Sep 17, 2010",7:30 PM,El Shorta,Petrojet,Sherif Rashwan,2,1,0,0,0,0,1:0 ,1:1,1,1,Draw
43,43,43,2010,Masr El Makasa x Enppi Club,6,"Sat, Sep 18, 2010",5:15 PM,Masr El Makasa,Enppi Club,Mohamed Qoudb,3,4,0,0,0,0,1:0 ,1:0,1,0,Home
44,44,44,2010,Masry Port Said x Entag El Harby,6,"Sat, Sep 18, 2010",5:15 PM,Masry Port Said,Entag El Harby,Yasser Abdelraouf,1,3,0,0,0,0,1:0 ,1:0,1,0,Home
45,45,45,2010,Arab Contractors SC x Ismaily SC,6,"Thu, Sep 23, 2010",5:15 PM,Arab Contractors SC,Ismaily SC,Mohamed Abbas,5,1,0,0,0,0,2:0 ,2:1,2,1,Home
46,46,46,2010,Tala'ea El Gaish x Harras El Hodoud,6,"Thu, Sep 23, 2010",5:15 PM,Tala'ea El Gaish,Harras El Hodoud,Mahmoud Ashour,3,3,0,0,0,0,0:1 ,1:2,1,2,Away
47,47,47,2010,El Ahly Cairo x Wadi Degla FC,6,"Thu, Sep 23, 2010",7:30 PM,El Ahly Cairo,Wadi Degla FC,Mohamed Abdelkader,4,0,0,0,0,0,0:0 ,1:0,1,0,Home
48,48,48,2010,Smouha SC x El Gouna FC,7,"Sun, Sep 26, 2010",5:15 PM,Smouha SC,El Gouna FC,Gehad Grisha,2,2,0,0,0,0,0:0 ,0:0,0,0,Draw
49,49,49,2010,Enppi Club x El Shorta,7,"Sun, Sep 26, 2010",7:30 PM,Enppi Club,El Shorta,Yasser Mahmoud,0,1,0,0,0,0,0:1 ,0:1,0,1,Away
50,50,50,2010,Ismaily SC x Masr El Makasa,7,"Mon, Sep 27, 2010",5:15 PM,Ismaily SC,Masr El Makasa,tbc,5,3,0,0,0,0,0:0 ,1:1,1,1,Draw
51,51,51,2010,Entag El Harby x El Ahly Cairo,7,"Mon, Sep 27, 2010",5:15 PM,Entag El Harby,El Ahly Cairo,Fahim Omar,3,1,0,0,1,0,0:0 ,1:2,1,2,Away
52,52,52,2010,Petrojet x Tala'ea El Gaish,7,"Mon, Sep 27, 2010",5:15 PM,Petrojet,Tala'ea El Gaish,Mohamed Abdelkader,2,0,0,0,0,0,1:0 ,2:2,2,2,Draw
53,53,53,2010,Wadi Degla FC x Ittehad Alexandria,7,"Mon, Sep 27, 2010",5:15 PM,Wadi Degla FC,Ittehad Alexandria,Raouf El Houshy,2,1,1,0,0,0,1:0 ,1:0,1,0,Home
54,54,54,2010,Harras El Hodoud x Masry Port Said,7,"Mon, Sep 27, 2010",5:15 PM,Harras El Hodoud,Masry Port Said,Mohamed Farouk,0,0,0,0,0,0,1:0 ,1:0,1,0,Home
55,55,55,2010,Zamalek SC x Arab Contractors SC,7,"Mon, Sep 27, 2010",7:30 PM,Zamalek SC,Arab Contractors SC,Sherif Rashwan,1,3,0,0,0,0,1:0 ,1:0,1,0,Home
56,56,56,2010,El Gouna FC x Wadi Degla FC,8,"Fri, Oct 1, 2010",3:00 PM,El Gouna FC,Wadi Degla FC,El Gouna Ground,0,3,0,0,0,0,0:0 ,0:2,0,2,Away
57,57,57,2010,Ittehad Alexandria x Entag El Harby,8,"Fri, Oct 1, 2010",5:15 PM,Ittehad Alexandria,Entag El Harby,Mohamed Abbas,1,3,0,0,0,0,3:4 ,3:6,3,6,Away
58,58,58,2010,Arab Contractors SC x Smouha SC,8,"Fri, Oct 1, 2010",5:15 PM,Arab Contractors SC,Smouha SC,Tarek Samy,0,0,0,0,0,0,1:0 ,2:1,2,1,Home
59,59,59,2010,El Shorta x Ismaily SC,8,"Fri, Oct 1, 2010",7:30 PM,El Shorta,Ismaily SC,Yasser Abdelraouf,1,0,1,0,0,0,0:0 ,2:1,2,1,Home
60,60,60,2010,Masr El Makasa x Zamalek SC,8,"Sat, Oct 2, 2010",5:15 PM,Masr El Makasa,Zamalek SC,Hamdi Shaaban,3,3,0,0,0,0,2:2 ,3:4,3,4,Away
61,61,61,2010,Masry Port Said x Petrojet,8,"Sat, Oct 2, 2010",5:15 PM,Masry Port Said,Petrojet,Medhat Abdelaziz,1,4,0,0,0,0,0:0 ,0:0,0,0,Draw
62,62,62,2010,Tala'ea El Gaish x Enppi Club,8,"Sat, Oct 2, 2010",5:15 PM,Tala'ea El Gaish,Enppi Club,Mohamed Dallas,3,4,0,0,0,0,0:1 ,0:2,0,2,Away
63,63,63,2010,El Ahly Cairo x Harras El Hodoud,8,"Tue, Dec 21, 2010",6:05 PM,El Ahly Cairo,Harras El Hodoud,Mohamed Farouk,2,4,0,0,0,0,0:1 ,2:1,2,1,Home
64,64,64,2010,Enppi Club x Masry Port Said,9,"Mon, Oct 25, 2010",5:00 PM,Enppi Club,Masry Port Said,Mahmoud Ashour,2,3,0,0,0,0,0:0 ,0:0,0,0,Draw
65,65,65,2010,Smouha SC x Masr El Makasa,9,"Mon, Oct 25, 2010",5:00 PM,Smouha SC,Masr El Makasa,tbc,1,1,0,0,0,0,0:0 ,0:1,0,1,Away
66,66,66,2010,Entag El Harby x Wadi Degla FC,9,"Mon, Oct 25, 2010",7:15 PM,Entag El Harby,Wadi Degla FC,Medhat El Houfy,5,0,0,0,0,0,0:0 ,1:1,1,1,Draw
67,67,67,2010,Harras El Hodoud x Ittehad Alexandria,9,"Tue, Oct 26, 2010",5:00 PM,Harras El Hodoud,Ittehad Alexandria,Medhat Abdelaziz,2,0,0,0,0,0,0:0 ,0:2,0,2,Away
68,68,68,2010,Arab Contractors SC x El Gouna FC,9,"Wed, Oct 27, 2010",5:00 PM,Arab Contractors SC,El Gouna FC,Yasser Abdelraouf,2,2,0,0,0,0,0:0 ,0:0,0,0,Draw
69,69,69,2010,Ismaily SC x Tala'ea El Gaish,9,"Wed, Oct 27, 2010",5:00 PM,Ismaily SC,Tala'ea El Gaish,Hamdi Shaaban,1,0,0,0,0,0,1:0 ,3:0,3,0,Home
70,70,70,2010,Petrojet x El Ahly Cairo,9,"Wed, Oct 27, 2010",5:00 PM,Petrojet,El Ahly Cairo,Mohamed Farouk,1,2,0,0,0,0,0:1 ,0:1,0,1,Away
71,71,71,2010,Zamalek SC x El Shorta,9,"Wed, Oct 27, 2010",7:15 PM,Zamalek SC,El Shorta,Mohamed Abdelkader,2,2,0,0,0,0,1:0 ,2:0,2,0,Home
72,72,72,2010,El Gouna FC x Entag El Harby,10,"Thu, Nov 4, 2010",1:30 PM,El Gouna FC,Entag El Harby,Medhat Abdelaziz,0,3,0,0,0,0,0:0 ,1:0,1,0,Home
73,73,73,2010,Masry Port Said x Ismaily SC,10,"Thu, Nov 4, 2010",3:45 PM,Masry Port Said,Ismaily SC,Mohamed Abdelkader,1,3,0,0,0,0,1:0 ,2:0,2,0,Home
74,74,74,2010,Masr El Makasa x Arab Contractors SC,10,"Thu, Nov 4, 2010",3:45 PM,Masr El Makasa,Arab Contractors SC,Gehad Grisha,1,0,0,0,0,0,1:0 ,2:0,2,0,Home
75,75,75,2010,Harras El Hodoud x Wadi Degla FC,10,"Thu, Nov 4, 2010",3:45 PM,Harras El Hodoud,Wadi Degla FC,Adel Aakl,1,3,0,0,0,0,0:0 ,1:0,1,0,Home
76,76,76,2010,Tala'ea El Gaish x Zamalek SC,10,"Thu, Nov 4, 2010",3:45 PM,Tala'ea El Gaish,Zamalek SC,Yasser Abdelraouf,4,5,1,0,1,0,1:1 ,2:2,2,2,Draw
77,77,77,2010,El Ahly Cairo x Enppi Club,10,"Thu, Nov 4, 2010",6:00 PM,El Ahly Cairo,Enppi Club,Sherif Rashwan,4,1,0,0,0,0,1:1 ,3:2,3,2,Home
78,78,78,2010,Ittehad Alexandria x Petrojet,10,"Fri, Nov 5, 2010",3:45 PM,Ittehad Alexandria,Petrojet,Fahim Omar,2,2,0,0,0,0,1:1 ,2:3,2,3,Away
79,79,79,2010,El Shorta x Smouha SC,10,"Fri, Nov 5, 2010",6:00 PM,El Shorta,Smouha SC,Mahmoud Ashour,2,4,1,0,0,0,1:1 ,1:1,1,1,Draw
80,80,80,2010,Smouha SC x Tala'ea El Gaish,11,"Sat, Nov 20, 2010",3:45 PM,Smouha SC,Tala'ea El Gaish,Mohamed Qoudb,3,0,0,0,0,0,0:0 ,1:1,1,1,Draw
81,81,81,2010,Petrojet x Wadi Degla FC,11,"Sat, Nov 20, 2010",3:45 PM,Petrojet,Wadi Degla FC,Tarek Samy,2,1,0,0,0,0,0:0 ,1:1,1,1,Draw
82,82,82,2010,Harras El Hodoud x Entag El Harby,11,"Sat, Nov 20, 2010",3:45 PM,Harras El Hodoud,Entag El Harby,Samir Osman,1,2,0,0,0,0,1:1 ,1:1,1,1,Draw
83,83,83,2010,Arab Contractors SC x El Shorta,11,"Sat, Nov 20, 2010",6:00 PM,Arab Contractors SC,El Shorta,Mohamed Abbas,4,0,0,0,0,0,0:0 ,0:0,0,0,Draw
84,84,84,2010,Masr El Makasa x El Gouna FC,11,"Sun, Nov 21, 2010",3:45 PM,Masr El Makasa,El Gouna FC,Mohamed Farouk,0,1,0,0,0,0,0:0 ,0:0,0,0,Draw
85,85,85,2010,Ismaily SC x El Ahly Cairo,11,"Sun, Nov 21, 2010",3:45 PM,Ismaily SC,El Ahly Cairo,Carlo Bertolini,1,1,0,0,0,0,3:0 ,3:1,3,1,Home
86,86,86,2010,Enppi Club x Ittehad Alexandria,11,"Sun, Nov 21, 2010",3:45 PM,Enppi Club,Ittehad Alexandria,Medhat El Houfy,3,1,1,0,0,0,1:0 ,2:0,2,0,Home
87,87,87,2010,Zamalek SC x Masry Port Said,11,"Sun, Nov 21, 2010",6:00 PM,Zamalek SC,Masry Port Said,Richard Trutz,2,3,0,0,0,0,0:0 ,1:0,1,0,Home
88,88,88,2010,El Gouna FC x Harras El Hodoud,12,"Thu, Nov 25, 2010",1:00 PM,El Gouna FC,Harras El Hodoud,Gehad Grisha,1,3,0,0,0,0,1:0 ,2:0,2,0,Home
89,89,89,2010,Ittehad Alexandria x Ismaily SC,12,"Thu, Nov 25, 2010",3:45 PM,Ittehad Alexandria,Ismaily SC,Mohamed Farouk,1,1,0,0,0,0,0:1 ,1:3,1,3,Away
90,90,90,2010,Tala'ea El Gaish x Arab Contractors SC,12,"Thu, Nov 25, 2010",3:45 PM,Tala'ea El Gaish,Arab Contractors SC,Fahim Omar,3,0,0,0,0,1,1:0 ,2:1,2,1,Home
91,91,91,2010,Masry Port Said x Smouha SC,12,"Thu, Nov 25, 2010",3:45 PM,Masry Port Said,Smouha SC,Sherif Rashwan,3,7,0,0,0,0,1:2 ,1:3,1,3,Away
92,92,92,2010,Wadi Degla FC x Enppi Club,12,"Thu, Nov 25, 2010",3:45 PM,Wadi Degla FC,Enppi Club,Medhat Abdelaziz,1,2,2,0,0,0,1:1 ,2:3,2,3,Away
93,93,93,2010,Entag El Harby x Petrojet,12,"Thu, Nov 25, 2010",3:45 PM,Entag El Harby,Petrojet,tbc,0,0,0,0,0,0,1:1 ,3:2,3,2,Home
94,94,94,2010,El Shorta x Masr El Makasa,12,"Thu, Nov 25, 2010",6:00 PM,El Shorta,Masr El Makasa,Samir Osman,1,1,0,0,0,0,0:0 ,3:0,3,0,Home
95,95,95,2010,El Ahly Cairo x Zamalek SC,12,"Thu, Dec 30, 2010",5:00 PM,El Ahly Cairo,Zamalek SC,Robert Schörgenhofer,2,2,0,0,0,0,0:0 ,0:0,0,0,Draw
96,96,96,2010,Masr El Makasa x Tala'ea El Gaish,13,"Thu, Dec 2, 2010",3:45 PM,Masr El Makasa,Tala'ea El Gaish,Mohamed Abbas,4,3,0,0,0,0,0:1 ,1:1,1,1,Draw
97,97,97,2010,Smouha SC x El Ahly Cairo,13,"Thu, Dec 2, 2010",3:45 PM,Smouha SC,El Ahly Cairo,István Vad,1,3,0,0,0,0,0:0 ,1:1,1,1,Draw
98,98,98,2010,Zamalek SC x Ittehad Alexandria,13,"Thu, Dec 2, 2010",6:00 PM,Zamalek SC,Ittehad Alexandria,Mahmoud Ashour,1,4,0,1,0,0,3:2 ,4:3,4,3,Home
99,99,99,2010,Enppi Club x Entag El Harby,13,"Fri, Dec 3, 2010",3:45 PM,Enppi Club,Entag El Harby,Raouf El Houshy,1,2,0,0,0,0,1:0 ,3:2,3,2,Home
100,100,100,2010,Petrojet x Harras El Hodoud,13,"Fri, Dec 3, 2010",3:45 PM,Petrojet,Harras El Hodoud,Sherif Rashwan,3,1,0,0,0,0,1:0 ,3:0,3,0,Home
101,101,101,2010,Ismaily SC x Wadi Degla FC,13,"Fri, Dec 3, 2010",3:45 PM,Ismaily SC,Wadi Degla FC,Mohamed Dallas,1,0,0,0,0,0,0:0 ,1:0,1,0,Home
102,102,102,2010,El Shorta x El Gouna FC,13,"Fri, Dec 3, 2010",3:45 PM,El Shorta,El Gouna FC,Yasser Mahmoud,1,4,0,0,0,0,0:0 ,1:0,1,0,Home
103,103,103,2010,Arab Contractors SC x Masry Port Said,13,"Fri, Dec 3, 2010",6:00 PM,Arab Contractors SC,Masry Port Said,Mohamed Farouk,2,3,0,0,0,0,1:0 ,1:1,1,1,Draw
104,104,104,2010,Petrojet x El Gouna FC,14,"Fri, Dec 24, 2010",3:45 PM,Petrojet,El Gouna FC,Mahmoud Ashour,1,1,0,0,0,0,0:0 ,1:0,1,0,Home
105,105,105,2010,Masry Port Said x Masr El Makasa,14,"Fri, Dec 24, 2010",3:45 PM,Masry Port Said,Masr El Makasa,Fahim Omar,1,1,1,0,0,0,0:0 ,1:0,1,0,Home
106,106,106,2010,Ittehad Alexandria x Smouha SC,14,"Fri, Dec 24, 2010",3:45 PM,Ittehad Alexandria,Smouha SC,Viktor Kassai,0,4,0,0,0,0,0:1 ,0:3,0,3,Away
107,107,107,2010,Wadi Degla FC x Zamalek SC,14,"Fri, Dec 24, 2010",6:00 PM,Wadi Degla FC,Zamalek SC,Mohamed Abdelkader,1,1,0,0,0,0,0:1 ,0:2,0,2,Away
108,108,108,2010,Tala'ea El Gaish x El Shorta,14,"Sat, Dec 25, 2010",3:45 PM,Tala'ea El Gaish,El Shorta,Gehad Grisha,1,1,0,0,0,0,0:0 ,1:0,1,0,Home
109,109,109,2010,Harras El Hodoud x Enppi Club,14,"Sat, Dec 25, 2010",3:45 PM,Harras El Hodoud,Enppi Club,Mohamed Abbas,1,2,0,0,0,0,1:1 ,2:3,2,3,Away
110,110,110,2010,Entag El Harby x Ismaily SC,14,"Sat, Dec 25, 2010",3:45 PM,Entag El Harby,Ismaily SC,Tarek Samy,0,1,0,0,1,0,0:0 ,1:1,1,1,Draw
111,111,111,2010,El Ahly Cairo x Arab Contractors SC,14,"Sat, Dec 25, 2010",6:00 PM,El Ahly Cairo,Arab Contractors SC,Yasser Mahmoud,0,2,0,1,0,0,0:0 ,1:1,1,1,Draw
112,112,112,2010,El Gouna FC x Tala'ea El Gaish,15,"Thu, Jan 20, 2011",1:00 PM,El Gouna FC,Tala'ea El Gaish,Fahim Omar,1,2,0,0,0,0,0:0 ,2:2,2,2,Draw
113,113,113,2010,Smouha SC x Wadi Degla FC,15,"Thu, Jan 20, 2011",3:45 PM,Smouha SC,Wadi Degla FC,Gehad Grisha,2,1,0,0,0,0,1:1 ,2:2,2,2,Draw
114,114,114,2010,Arab Contractors SC x Ittehad Alexandria,15,"Thu, Jan 20, 2011",3:45 PM,Arab Contractors SC,Ittehad Alexandria,Sherif Rashwan,1,2,0,0,0,0,1:1 ,1:1,1,1,Draw
115,115,115,2010,Enppi Club x Petrojet,15,"Thu, Jan 20, 2011",6:00 PM,Enppi Club,Petrojet,tbc,3,1,1,0,0,0,0:0 ,1:3,1,3,Away
116,116,116,2010,Ismaily SC x Harras El Hodoud,15,"Fri, Jan 21, 2011",6:00 PM,Ismaily SC,Harras El Hodoud,Mahmoud Ashour,2,1,0,0,0,0,2:1 ,3:2,3,2,Home
117,117,117,2010,Zamalek SC x Entag El Harby,15,"Fri, Jan 21, 2011",6:00 PM,Zamalek SC,Entag El Harby,Mohamed Farouk,2,2,1,1,0,0,0:0 ,0:0,0,0,Draw
118,118,118,2010,Masr El Makasa x El Ahly Cairo,15,"Sat, Jan 22, 2011",3:45 PM,Masr El Makasa,El Ahly Cairo,Mohamed Abdelkader,2,1,0,0,0,0,1:1 ,1:1,1,1,Draw
119,119,119,2010,El Shorta x Masry Port Said,15,"Sat, Jan 22, 2011",6:00 PM,El Shorta,Masry Port Said,Yasser Abdelraouf,1,4,0,0,0,0,0:0 ,2:0,2,0,Home
120,120,120,2010,El Gouna FC x Enppi Club,16,"Wed, Apr 13, 2011",3:30 PM,El Gouna FC,Enppi Club,Mohamed Farouk,1,1,0,0,0,0,0:0 ,2:1,2,1,Home
121,121,121,2010,Tala'ea El Gaish x Masry Port Said,16,"Wed, Apr 13, 2011",5:30 PM,Tala'ea El Gaish,Masry Port Said,Gehad Grisha,2,4,0,0,0,0,1:1 ,1:1,1,1,Draw
122,122,122,2010,Smouha SC x Entag El Harby,16,"Wed, Apr 13, 2011",5:30 PM,Smouha SC,Entag El Harby,Mohamed Abbas,1,1,0,0,0,0,2:0 ,3:2,3,2,Home
123,123,123,2010,Ismaily SC x Petrojet,16,"Wed, Apr 13, 2011",5:30 PM,Ismaily SC,Petrojet,Samir Osman,0,2,0,0,0,0,0:1 ,1:1,1,1,Draw
124,124,124,2010,El Shorta x El Ahly Cairo,16,"Wed, Apr 13, 2011",8:00 PM,El Shorta,El Ahly Cairo,Fahim Omar,4,0,0,0,0,0,0:1 ,1:2,1,2,Away
125,125,125,2010,Masr El Makasa x Ittehad Alexandria,16,"Thu, Apr 14, 2011",5:30 PM,Masr El Makasa,Ittehad Alexandria,Mahmoud Ashour,4,2,0,0,0,0,0:0 ,4:0,4,0,Home
126,126,126,2010,Arab Contractors SC x Wadi Degla FC,16,"Thu, Apr 14, 2011",5:30 PM,Arab Contractors SC,Wadi Degla FC,Mohamed Abdelkader,3,0,0,0,0,0,0:2 ,0:3,0,3,Away
127,127,127,2010,Zamalek SC x Harras El Hodoud,16,"Thu, Apr 14, 2011",7:00 PM,Zamalek SC,Harras El Hodoud,Yasser Abdelraouf,1,4,1,0,0,0,1:1 ,2:1,2,1,Home
128,128,128,2010,El Ahly Cairo x Tala'ea El Gaish,17,"Sun, Apr 17, 2011",6:00 PM,El Ahly Cairo,Tala'ea El Gaish,Yasser Mahmoud,3,3,0,0,0,0,0:0 ,1:0,1,0,Home
